Testing load_sound
         112895 function calls (110897 primitive calls) in 1.409 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.frombuffer}
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
     1000    0.003    0.000    0.003    0.000 {range}


Testing get_max_sample
         3114 function calls (3112 primitive calls) in 0.185 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.185    0.185 <string>:1(<module>)
        1    0.006    0.006    0.185    0.185 ProfilingSounds.py:27(test_get_max_sample)
        2    0.000    0.000    0.000    0.000 chunk.py:115(tell)
      9/7    0.000    0.000    0.000    0.000 chunk.py:120(read)
        1    0.000    0.000    0.000    0.000 chunk.py:143(skip)
        3    0.000    0.000    0.000    0.000 chunk.py:52(__init__)
        3    0.000    0.000    0.000    0.000 chunk.py:78(getname)
        1    0.000    0.000    0.000    0.000 chunk.py:96(seek)
        1    0.000    0.000    0.003    0.003 media.py:262(load_sound)
      999    0.008    0.000    0.177    0.000 media.py:295(get_max_sample)
        2    0.000    0.000    0.000    0.000 sndhdr.py:108(test_hcom)
        2    0.000    0.000    0.000    0.000 sndhdr.py:117(test_voc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:130(test_wav)
        2    0.000    0.000    0.000    0.000 sndhdr.py:177(get_long_le)
        6    0.000    0.000    0.000    0.000 sndhdr.py:183(get_short_le)
        2    0.000    0.000    0.000    0.000 sndhdr.py:35(what)
        2    0.000    0.000    0.000    0.000 sndhdr.py:41(whathdr)
        2    0.000    0.000    0.000    0.000 sndhdr.py:58(test_aifc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:79(test_au)
        1    0.000    0.000    0.000    0.000 sound.py:168(set_pygame_sound)
      999    0.007    0.000    0.169    0.000 sound.py:388(get_max)
        1    0.000    0.000    0.000    0.000 sound.py:408(set_filename)
        1    0.000    0.000    0.003    0.003 sound.py:516(load_pygame_sound)
        1    0.000    0.000    0.000    0.000 sound.py:585(pygame_to_sample_array)
        1    0.000    0.000    0.003    0.003 sound.py:78(__init__)
        1    0.001    0.001    0.002    0.002 wave.py:125(initfp)
        1    0.000    0.000    0.002    0.002 wave.py:156(__init__)
        1    0.000    0.000    0.000    0.000 wave.py:169(__del__)
        2    0.000    0.000    0.000    0.000 wave.py:181(close)
        1    0.000    0.000    0.000    0.000 wave.py:202(getcomptype)
        1    0.000    0.000    0.000    0.000 wave.py:263(_read_fmt_chunk)
        1    0.000    0.000    0.002    0.002 wave.py:486(open)
        5    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 {isinstance}
       12    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
      999    0.162    0.000    0.162    0.000 {method 'max' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.frombuffer}
        3    0.000    0.000    0.000    0.000 {open}
       20    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.access}
        1    0.000    0.000    0.000    0.000 {range}


Testing get_min_sample
         3114 function calls (3112 primitive calls) in 0.174 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.174    0.174 <string>:1(<module>)
        1    0.006    0.006    0.174    0.174 ProfilingSounds.py:33(test_get_min_sample)
        2    0.000    0.000    0.000    0.000 chunk.py:115(tell)
      9/7    0.000    0.000    0.000    0.000 chunk.py:120(read)
        1    0.000    0.000    0.000    0.000 chunk.py:143(skip)
        3    0.000    0.000    0.000    0.000 chunk.py:52(__init__)
        3    0.000    0.000    0.000    0.000 chunk.py:78(getname)
        1    0.000    0.000    0.000    0.000 chunk.py:96(seek)
        1    0.000    0.000    0.002    0.002 media.py:262(load_sound)
      999    0.007    0.000    0.166    0.000 media.py:302(get_min_sample)
        2    0.000    0.000    0.000    0.000 sndhdr.py:108(test_hcom)
        2    0.000    0.000    0.000    0.000 sndhdr.py:117(test_voc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:130(test_wav)
        2    0.000    0.000    0.000    0.000 sndhdr.py:177(get_long_le)
        6    0.000    0.000    0.000    0.000 sndhdr.py:183(get_short_le)
        2    0.000    0.000    0.001    0.000 sndhdr.py:35(what)
        2    0.000    0.000    0.000    0.000 sndhdr.py:41(whathdr)
        2    0.000    0.000    0.000    0.000 sndhdr.py:58(test_aifc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:79(test_au)
        1    0.000    0.000    0.000    0.000 sound.py:168(set_pygame_sound)
      999    0.007    0.000    0.159    0.000 sound.py:395(get_min)
        1    0.000    0.000    0.000    0.000 sound.py:408(set_filename)
        1    0.000    0.000    0.002    0.002 sound.py:516(load_pygame_sound)
        1    0.000    0.000    0.000    0.000 sound.py:585(pygame_to_sample_array)
        1    0.000    0.000    0.002    0.002 sound.py:78(__init__)
        1    0.000    0.000    0.001    0.001 wave.py:125(initfp)
        1    0.000    0.000    0.001    0.001 wave.py:156(__init__)
        1    0.000    0.000    0.000    0.000 wave.py:169(__del__)
        2    0.000    0.000    0.000    0.000 wave.py:181(close)
        1    0.000    0.000    0.000    0.000 wave.py:202(getcomptype)
        1    0.000    0.000    0.000    0.000 wave.py:263(_read_fmt_chunk)
        1    0.000    0.000    0.001    0.001 wave.py:486(open)
        5    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 {isinstance}
       12    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
      999    0.153    0.000    0.153    0.000 {method 'min' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.frombuffer}
        3    0.000    0.000    0.000    0.000 {open}
       20    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.access}
        1    0.000    0.000    0.000    0.000 {range}


Testing concatenate
         26204 function calls (26200 primitive calls) in 0.324 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.324    0.324 <string>:1(<module>)
        1    0.010    0.010    0.324    0.324 ProfilingSounds.py:39(test_concatenate)
        4    0.000    0.000    0.000    0.000 chunk.py:115(tell)
    18/14    0.000    0.000    0.000    0.000 chunk.py:120(read)
        2    0.000    0.000    0.000    0.000 chunk.py:143(skip)
        6    0.000    0.000    0.001    0.000 chunk.py:52(__init__)
        6    0.000    0.000    0.000    0.000 chunk.py:78(getname)
        2    0.000    0.000    0.000    0.000 chunk.py:96(seek)
        2    0.000    0.000    0.003    0.001 media.py:262(load_sound)
      999    0.010    0.000    0.311    0.000 media.py:309(concatenate)
        4    0.000    0.000    0.000    0.000 sndhdr.py:108(test_hcom)
        4    0.000    0.000    0.000    0.000 sndhdr.py:117(test_voc)
        4    0.000    0.000    0.000    0.000 sndhdr.py:130(test_wav)
        4    0.000    0.000    0.000    0.000 sndhdr.py:177(get_long_le)
       12    0.000    0.000    0.000    0.000 sndhdr.py:183(get_short_le)
        4    0.000    0.000    0.001    0.000 sndhdr.py:35(what)
        4    0.000    0.000    0.001    0.000 sndhdr.py:41(whathdr)
        4    0.000    0.000    0.000    0.000 sndhdr.py:58(test_aifc)
        4    0.000    0.000    0.000    0.000 sndhdr.py:79(test_au)
      999    0.016    0.000    0.301    0.000 sound.py:151(__add__)
     2000    0.019    0.000    0.055    0.000 sound.py:168(set_pygame_sound)
      999    0.004    0.000    0.004    0.000 sound.py:180(get_pygame_sound)
      999    0.021    0.000    0.126    0.000 sound.py:186(copy)
      999    0.035    0.000    0.159    0.000 sound.py:205(append)
     1998    0.007    0.000    0.007    0.000 sound.py:402(get_channels)
     1001    0.006    0.000    0.006    0.000 sound.py:408(set_filename)
        2    0.000    0.000    0.002    0.001 sound.py:516(load_pygame_sound)
     2999    0.035    0.000    0.052    0.000 sound.py:585(pygame_to_sample_array)
     1998    0.065    0.000    0.068    0.000 sound.py:600(sample_array_to_pygame)
     1001    0.025    0.000    0.060    0.000 sound.py:78(__init__)
        2    0.000    0.000    0.001    0.001 wave.py:125(initfp)
        2    0.000    0.000    0.001    0.001 wave.py:156(__init__)
        2    0.000    0.000    0.000    0.000 wave.py:169(__del__)
        4    0.000    0.000    0.000    0.000 wave.py:181(close)
        2    0.000    0.000    0.000    0.000 wave.py:202(getcomptype)
        2    0.000    0.000    0.000    0.000 wave.py:263(_read_fmt_chunk)
        2    0.000    0.000    0.001    0.001 wave.py:486(open)
       10    0.000    0.000    0.000    0.000 {_struct.unpack}
        2    0.000    0.000    0.000    0.000 {isinstance}
     2022    0.003    0.000    0.003    0.000 {len}
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      999    0.020    0.000    0.020    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2999    0.006    0.000    0.006    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
       22    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
      999    0.029    0.000    0.029    0.000 {numpy.core.multiarray.concatenate}
     2999    0.011    0.000    0.011    0.000 {numpy.core.multiarray.frombuffer}
        6    0.000    0.000    0.000    0.000 {open}
       40    0.000    0.000    0.000    0.000 {ord}
        2    0.000    0.000    0.000    0.000 {posix.access}
        1    0.000    0.000    0.000    0.000 {range}


Testing append_silence
         25092 function calls (25090 primitive calls) in 0.247 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.247    0.247 <string>:1(<module>)
        1    0.007    0.007    0.247    0.247 ProfilingSounds.py:46(test_append_silence)
        2    0.000    0.000    0.000    0.000 chunk.py:115(tell)
      9/7    0.000    0.000    0.000    0.000 chunk.py:120(read)
        1    0.000    0.000    0.000    0.000 chunk.py:143(skip)
        3    0.000    0.000    0.000    0.000 chunk.py:52(__init__)
        3    0.000    0.000    0.000    0.000 chunk.py:78(getname)
        1    0.000    0.000    0.000    0.000 chunk.py:96(seek)
        1    0.000    0.000    0.002    0.002 media.py:262(load_sound)
      999    0.008    0.000    0.239    0.000 media.py:315(append_silence)
        2    0.000    0.000    0.000    0.000 sndhdr.py:108(test_hcom)
        2    0.000    0.000    0.000    0.000 sndhdr.py:117(test_voc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:130(test_wav)
        2    0.000    0.000    0.000    0.000 sndhdr.py:177(get_long_le)
        6    0.000    0.000    0.000    0.000 sndhdr.py:183(get_short_le)
        2    0.000    0.000    0.001    0.000 sndhdr.py:35(what)
        2    0.000    0.000    0.000    0.000 sndhdr.py:41(whathdr)
        2    0.000    0.000    0.000    0.000 sndhdr.py:58(test_aifc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:79(test_au)
     1999    0.020    0.000    0.054    0.000 sound.py:168(set_pygame_sound)
      999    0.004    0.000    0.004    0.000 sound.py:180(get_pygame_sound)
      999    0.027    0.000    0.230    0.000 sound.py:194(append_silence)
      999    0.032    0.000    0.128    0.000 sound.py:205(append)
     1998    0.007    0.000    0.007    0.000 sound.py:402(get_channels)
     1000    0.006    0.000    0.006    0.000 sound.py:408(set_filename)
        1    0.000    0.000    0.001    0.001 sound.py:516(load_pygame_sound)
     2998    0.035    0.000    0.050    0.000 sound.py:585(pygame_to_sample_array)
     1998    0.033    0.000    0.037    0.000 sound.py:600(sample_array_to_pygame)
     1000    0.025    0.000    0.058    0.000 sound.py:78(__init__)
        1    0.000    0.000    0.001    0.001 wave.py:125(initfp)
        1    0.000    0.000    0.001    0.001 wave.py:156(__init__)
        1    0.000    0.000    0.000    0.000 wave.py:169(__del__)
        2    0.000    0.000    0.000    0.000 wave.py:181(close)
        1    0.000    0.000    0.000    0.000 wave.py:202(getcomptype)
        1    0.000    0.000    0.000    0.000 wave.py:263(_read_fmt_chunk)
        1    0.000    0.000    0.001    0.001 wave.py:486(open)
        5    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 {isinstance}
     2010    0.003    0.000    0.003    0.000 {len}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2998    0.006    0.000    0.006    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
       11    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
      999    0.016    0.000    0.016    0.000 {numpy.core.multiarray.concatenate}
     2998    0.010    0.000    0.010    0.000 {numpy.core.multiarray.frombuffer}
      999    0.006    0.000    0.006    0.000 {numpy.core.multiarray.zeros}
        3    0.000    0.000    0.000    0.000 {open}
       20    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.access}
        1    0.000    0.000    0.000    0.000 {range}


Testing crop_sound
         150 function calls (143 primitive calls) in 0.040 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.040    0.040 <string>:1(<module>)
        1    0.000    0.000    0.040    0.040 ProfilingSounds.py:52(test_crop_sound)
        2    0.000    0.000    0.000    0.000 chunk.py:115(tell)
      9/7    0.000    0.000    0.000    0.000 chunk.py:120(read)
        1    0.000    0.000    0.000    0.000 chunk.py:143(skip)
        3    0.000    0.000    0.000    0.000 chunk.py:52(__init__)
        3    0.000    0.000    0.000    0.000 chunk.py:78(getname)
        1    0.000    0.000    0.000    0.000 chunk.py:96(seek)
        1    0.000    0.000    0.040    0.040 media.py:262(load_sound)
        3    0.000    0.000    0.000    0.000 media.py:321(crop_sound)
        2    0.000    0.000    0.000    0.000 sndhdr.py:108(test_hcom)
        2    0.000    0.000    0.000    0.000 sndhdr.py:117(test_voc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:130(test_wav)
        2    0.000    0.000    0.000    0.000 sndhdr.py:177(get_long_le)
        6    0.000    0.000    0.000    0.000 sndhdr.py:183(get_short_le)
        2    0.000    0.000    0.003    0.002 sndhdr.py:35(what)
        2    0.000    0.000    0.003    0.002 sndhdr.py:41(whathdr)
        2    0.000    0.000    0.000    0.000 sndhdr.py:58(test_aifc)
        2    0.000    0.000    0.000    0.000 sndhdr.py:79(test_au)
        5    0.000    0.000    0.000    0.000 sound.py:145(__len__)
        3    0.000    0.000    0.000    0.000 sound.py:168(set_pygame_sound)
        3    0.000    0.000    0.000    0.000 sound.py:241(crop)
        1    0.000    0.000    0.000    0.000 sound.py:408(set_filename)
        1    0.035    0.035    0.039    0.039 sound.py:516(load_pygame_sound)
        3    0.000    0.000    0.000    0.000 sound.py:585(pygame_to_sample_array)
        2    0.000    0.000    0.000    0.000 sound.py:600(sample_array_to_pygame)
        1    0.000    0.000    0.040    0.040 sound.py:78(__init__)
        1    0.000    0.000    0.001    0.001 wave.py:125(initfp)
        1    0.000    0.000    0.001    0.001 wave.py:156(__init__)
        1    0.000    0.000    0.000    0.000 wave.py:169(__del__)
        2    0.000    0.000    0.000    0.000 wave.py:181(close)
        1    0.000    0.000    0.000    0.000 wave.py:202(getcomptype)
        1    0.000    0.000    0.000    0.000 wave.py:263(_read_fmt_chunk)
        1    0.000    0.000    0.001    0.001 wave.py:486(open)
        5    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 {isinstance}
    24/19    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
       11    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        3    0.000    0.000    0.000    0.000 {numpy.core.multiarray.frombuffer}
        3    0.000    0.000    0.000    0.000 {open}
       20    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.access}
        1    0.000    0.000    0.000    0.000 {range}


